X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,ano,contagem,media,minimo,maximo,stddev,variancia
-49.1928599999999,-18.53831,1087,PB045,MG,,lotico,2,IGAM,-18.53831,-49.19286,Rio Piedade,2017,4,"73,70","68,90","78,50","5,54","30,72"
-48.7363599999999,-19.16619,1088,PB046,MG,,lotico,2,IGAM,-19.16619,-48.73636,Rio Tijuco,2017,4,"75,35","70,80","79,90","5,25","27,60"
-48.5714199999999,-19.06731,1089,PB047,MG,,lotico,2,IGAM,-19.06731,-48.57142,Rio Dourado (PN3),2017,4,"74,00","71,60","76,40","2,77","7,68"
-49.02511,-18.94686,1090,PB048,MG,,lotico,2,IGAM,-18.94686,-49.02511,Rio Babilônia,2017,4,"75,10","71,00","79,20","4,73","22,41"
-49.05681,-18.87758,1091,PB049,MG,,lotico,2,IGAM,-18.87758,-49.05681,Ribeirão Monte Alegre,2017,4,"55,15","52,80","57,50","2,71","7,36"
-49.0606099999999,-19.3770299999999,1092,PB050,MG,,lotico,2,IGAM,-19.37703,-49.06061,Rio da Prata (PN3),2017,4,"61,50","45,70","77,30","18,24","332,85"
-49.99994,-18.89014,1093,PB051,MG,,lotico,2,IGAM,-18.89014,-49.99994,Rio São Jerônimo,2017,4,"66,90","56,20","77,60","12,36","152,65"
-50.47086,-19.32461,1094,PB052,MG,,lotico,2,IGAM,-19.32461,-50.47086,Rio São Domingos (PN3),2017,4,"59,75","53,10","66,40","7,68","58,96"
-50.38192,-19.2280299999999,1095,PB053,MG,,lotico,2,IGAM,-19.22803,-50.38192,Rio Arantes,2017,4,"68,20","60,10","76,30","9,35","87,48"
-50.6712199999999,-19.4942199999999,1096,PB054,MG,,lotico,2,IGAM,-19.49422,-50.67122,Ribeirão Volta Grande,2017,4,"74,35","71,00","77,70","3,87","14,96"
-46.78833,-19.07017,1097,PB055,MG,,lotico,2,IGAM,-19.07017,-46.78833,Ribeirão Salitre,2017,4,"67,70","66,70","68,70","1,15","1,33"
-46.67007,-20.1469799999999,1098,PB056,MG,,lotico,2,IGAM,-20.14698,-46.67007,Rio Araguari,2017,4,"69,15","67,10","71,20","2,37","5,60"
-46.89334,-19.78894,1099,PB057,MG,,lotico,2,IGAM,-19.78894,-46.89334,Ribeirão do Inferno,2017,4,"82,95","72,30","93,60","12,30","151,23"
