X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,Ano_1,Cont_1,Media_1,Min_1,Max_1,Stddev_1,Variance_1
-43.99825,-19.8696699999999,1265,PV105,MG,,lotico,2,IGAM,-19.86967,-43.99825,Córrego da Avenida Tancredo Neves,2017,4,41.2,33.6,48.8,8.77572409168233,77.0133333333336
-43.9999999999999,-19.86,1266,PV110,MG,,lotico,2,IGAM,-19.86,-44,Córrego Sarandi,2017,4,31.25,17.9,44.6,15.415252187363,237.63
-43.9999999999999,-19.86,1267,PV115,MG,,lotico,2,IGAM,-19.86,-44,Córrego Ressaca,2017,4,54,51,57,3.46410161513775,12
-44.0099999999999,-19.85,1268,PV167,MG,,lotico,2,IGAM,-19.85,-44.01,Córrego Bom Jesus,2017,4,32,21.7,42.3,11.8934155453063,141.453333333333
-44.0099999999999,-19.85,1269,PV175,MG,,lotico,2,IGAM,-19.85,-44.01,Córrego Braúnas,2017,4,60.3,53.7,66.9,7.62102355330313,58.0800000000011
-43.9999999999999,-19.84,1270,PV180,MG,,lotico,2,IGAM,-19.84,-44,Córrego AABB,2017,4,63.25,59.3,67.2,4.56106712659804,20.8033333333333
-43.99,-19.84,1271,PV190,MG,,lotico,2,IGAM,-19.84,-43.99,Córrego Olhos Dágua,2017,4,39.7,29.4,50,11.8934155453063,141.453333333333
-43.98,-19.86,1272,PV210,MG,,lotico,2,IGAM,-19.86,-43.98,Córrego Mergulhão,2017,4,56.75,52.7,60.8,4.67653718043599,21.8700000000002
-43.96311,-19.84408,1273,PV220,MG,,lotico,3,IGAM,-19.84408,-43.96311,Ribeirão Pampulha,2017,6,64.1333333333333,56.3,76,9.34765567758388,87.3786666666662
-43.99,-19.85,1274,PV230,MG,,lentico,2,IGAM,-19.85,-43.99,Lagoa da Pampulha,2017,6,51.8666666666667,42.6,58.6,7.41961364672493,55.0506666666668
-43.98,-19.86,1275,PV235,MG,,lentico,2,IGAM,-19.86,-43.98,Lagoa da Pampulha,2017,6,70.5,61.6,81.7,9.16384198903495,83976
-43.97,-19.85,1276,PV240,MG,,lentico,2,IGAM,-19.85,-43.97,Lagoa da Pampulha,2017,6,67.0333333333333,60.4,78.8,9.13907362190875,83.5226666666684
-38.4192389999999,-4.22396399999997,1277,QUA01,CE,,lentico,12,COGERH,-4.223964,-38.419239,Informação não disponível,2017,8,72875,62.9,83.2,7.70505399999615,59.3678571428567
-41.09923,-3.84331399999996,1278,QUI01,CE,,lentico,12,COGERH,-3.843314,-41.09923,Açude Quincoé,2017,2,64.6,64.6,64.6,0,0
-39.336021,-5.21112599999998,1279,QXB01,CE,,lentico,12,COGERH,-5.211126,-39.336021,Informação não disponível,2017,6,74.4666666666667,70,82.4,6.16138512565712,37.9626666666688
-38.981985,-5.71105399999993,1280,QXM05,CE,,lentico,12,COGERH,-5.711054,-38.981985,Informação não disponível,2017,2,67.1,67.1,67.1,0,0
-41.778825,-20.26905556,1281,RBND001,ES,,lotico,99,AGERH,-20.26905556,-41.778825,Rio José Pedro,2017,8,64575,44.2,76.5,14.13837230478,199.893571428571
-38.357611,-12.944806,1282,RCNABT100,BA,,lentico,12,INGÁ,-12.944806,-38.357611,Lagoa do Abaeté,2017,6,66.8333333333333,60.8,70.4,4.69921979339806,22.0826666666641
-38.38972,-12855,1283,RCNBIP001,BA,,lentico,12,INEMA,-12855,-38.38972,Barragem Joanes I,2017,8,73225,60.1,82.1,8.63857627158538,74.6249999999979
-38.3830609999999,-12.89724,1284,RCNBIP002,BA,,lentico,12,INEMA,-12.89724,-38.383061,Barragem IpitangaI,2017,8,76225,69,82.9,6.1068462751713,37.2935714285736
-38.3242799999999,-12836,1285,RCNBJN001,BA,,lentico,12,INEMA,-12836,-38.32428,Barragem Joanes II,2017,8,72.85,68.1,80.7,5.04295831545623,25.4314285714292
-38.41944,-12667,1286,RCNBJO001,BA,,lentico,12,INEMA,-12667,-38.41944,Barragem Joanes II,2017,8,81.4,79.9,84,1.77763888346293,3.15999999999933
-38.39627,-12667,1287,RCNBJO004,BA,,lentico,12,INEMA,-12667,-38.39627,Barragem Santa Helena,2017,8,77.65,72.9,83,4.07816485339022,16.6314285714273
-38.16833,-12.5479999999999,1288,RCNBSH001,BA,,lentico,12,INEMA,-12548,-38.16833,Barragem Santa Helena,2017,6,76.8333333333333,66.3,83.3,8.2293782673218,67.7226666666684
-38.23697,-12.5719999999999,1289,RCNBSH003,BA,,lentico,12,INEMA,-12572,-38.23697,Barragem Santa Helena,2017,6,72.0333333333333,70.3,75.3,2.53192943556212,6.41066666666593
-38.2818329999999,-12.629722,1290,RCNBSH050,BA,,lentico,12,INGÁ,-12.629722,-38.281833,Rio Jacuípe,2017,6,51.6,44.5,63.4,9.2030429750164,84.6959999999987
-38.3384,-12.7125,1291,RCNCAM135,BA,,lotico,12,INGÁ,-12.7125,-38.3384,Rio Bandeira,2017,8,23.25,16.2,30.3,6.10877588860018,37.3171428571429
-38.4111389999999,-12.159056,1292,RCNCAT200,BA,,lotico,12,INEMA,-12.159056,-38.411139,Catu,2017,8,32.9,31.6,34.7,1.3627702877384,1.8571428571426
-38.3096389999999,-12.4084999999999,1293,RCNCAT800,BA,,lotico,12,INEMA,-12.4085,-38.309639,Catu,2017,8,54425,51,61.1,4.27576225451581,18.2821428571421
-38365,-12.9397,1294,RCNCBP100,BA,RCNCBP001,lotico,12,INEMA,-12.9397,-38365,Córrego do Bispo,2017,6,25.1,17.6,37.5,9.67512273823956,93.6080000000002
-38.4704439999999,-12.9302779999999,1295,RCNCMJ500,BA,,lotico,12,INEMA,-12.930278,-38.470444,Camarajipe,2017,6,16.5,15.6,17.9,1.09909053312272,1.20799999999999
-38.4667699999999,-12.98,1296,RCNCMJ850,BA,,lotico,12,INEMA,-12.98,-38.46677,Camarajipe,2017,6,24.0333333333333,14.9,30.9,7.36767715543145,54.2826666666664
-38.4755279999999,-12.902528,1297,RCNCOB950,BA,,lotico,12,INEMA,-12.902528,-38.475528,Bacia Rio do Cobre,2017,6,41.1333333333333,36.6,48.5,5.75661937830419,33.1386666666673
-38.167722,-12.7488329999999,1298,RCNCPV900,BA,,lotico,12,INGÁ,-12.748833,-38.167722,Rio Capivara Grande,2017,8,76.35,72.4,79.2,3.15820925751994,9.97428571428463
-38.156167,-12.6990279999999,1299,RCNCVP800,BA,,lotico,12,INGÁ,-12.699028,-38.156167,Rio Capivara Pequeno,2017,8,52425,38.7,65.3,11.3180954985495,128.099285714286
-38.3829299999999,-12.6864699999999,1300,RCNIBT500,BA,,lotico,12,INGÁ,-12.68647,-38.38293,Rio Itaboatã,2017,8,51725,40.4,63.1,8.61307146144747,74.1850000000008
-38.6222799999999,-12763,1301,RCNIFD001,BA,,lotico,12,INEMA,-12763,-38.62228,Ilha Dos Frades,2017,6,68.1666666666667,51.9,78,12.6915194782448,161.074666666666
-38.640639,-12.808639,1302,RCNIFD002,BA,,lotico,12,INEMA,-12.808639,-38.640639,Ilha Dos Frades,2017,6,78.7333333333333,76,81.1,2.29840524422175,5.28266666666605
-38.345722,-11.783611,1303,RCNIHB400,BA,,lotico,12,INGÁ,-11.783611,-38.345722,Rio Inhambupe,2017,8,50775,47.6,52.9,2.30077626651766,5.29357142857095
-38.050083,-11.927444,1304,RCNIHB600,BA,,lotico,12,INGÁ,-11.927444,-38.050083,Rio Inhambupe,2017,8,72025,67.9,81.5,5.91722666699279,35.0135714285706
-37.744611,-12.061389,1305,RCNIHB800,BA,,lotico,12,INGÁ,-12.061389,-37.744611,Rio Inhambupe,2017,8,73875,66.2,84.5,8.33970708632592,69.5507142857147
